id,image,label,label_cn,source_collage_id,source_image,source_split,subclass,prompt_group,cell_id,row,col,source_object_id,source_bbox_xyxy,status_pred,mark_state,severity,reason_code,original_single_crop
000001,images/normal/000001_normal_collage_00001_0_0_00001_00_IMG_20260109_104101_joint_001.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,0_0,0,0,joint_001,"[1665, 349, 2158, 857]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_00_IMG_20260109_104101_joint_001.jpg
000002,images/normal/000002_normal_collage_00001_0_1_00001_01_IMG_20260109_104101_joint_002.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,0_1,0,1,joint_002,"[347, 279, 585, 619]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_01_IMG_20260109_104101_joint_002.jpg
000003,images/normal/000003_normal_collage_00001_0_2_00001_02_IMG_20260109_104101_joint_003.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,0_2,0,2,joint_003,"[498, 1641, 699, 1901]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_02_IMG_20260109_104101_joint_003.jpg
000004,images/normal/000004_normal_collage_00001_1_0_00001_03_IMG_20260109_104101_joint_004.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,1_0,1,0,joint_004,"[636, 2691, 796, 2953]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_03_IMG_20260109_104101_joint_004.jpg
000005,images/normal/000005_normal_collage_00001_1_1_00001_04_IMG_20260109_104101_joint_005.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,1_1,1,1,joint_005,"[922, 2527, 1149, 2753]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_04_IMG_20260109_104101_joint_005.jpg
000006,images/normal/000006_normal_collage_00001_1_2_00001_05_IMG_20260109_104101_joint_006.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,1_2,1,2,joint_006,"[2098, 1565, 2276, 1819]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_05_IMG_20260109_104101_joint_006.jpg
000007,images/normal/000007_normal_collage_00001_2_0_00001_06_IMG_20260109_104101_joint_007.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,2_0,2,0,joint_007,"[2120, 2527, 2272, 2829]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_06_IMG_20260109_104101_joint_007.jpg
000008,images/normal/000008_normal_collage_00001_2_1_00001_07_IMG_20260109_104101_joint_008.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,2_1,2,1,joint_008,"[2092, 227, 2281, 543]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_07_IMG_20260109_104101_joint_008.jpg
000009,images/normal/000009_normal_collage_00001_2_2_00001_08_IMG_20260109_104101_joint_009.jpg,normal,不松动,collage_00001,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_normal/sample_normal_easy/IMG_20260109_104101.jpg,normal,,generic,2_2,2,2,joint_009,"[1361, 2911, 1731, 3146]",normal,aligned,none,aligned,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/normal/generic/00001_08_IMG_20260109_104101_joint_009.jpg
000010,images/unknown/000010_unknown_collage_00002_0_0_00002_00_IMG_20260109_104101__marker_missing_unknown__unknown_core_full100_joint_001.jpg,unknown,无标记线,collage_00002,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_dimension_lines/sample_unknown/IMG_20260109_104101__marker_missing_unknown__unknown_core_full100.png,unknown,unknown_core,rule_based_unknown,0_0,0,0,joint_001,"[486, 102, 629, 251]",unknown,missing,unknown,missing,/Users/guangyu/Desktop/复现Adaptive COT项目/数据清洗备份/industrial_datas/bolt_marking_truth_collages/single_crops/unknown/unknown_core/00002_00_IMG_20260109_104101__marker_missing_unknown__unknown_core_full100_joint_001.jpg
