feature,importance
red_area_ratio,0.07662270964647559
red_area,0.06566279920496848
largest_component_area,0.06458880576376809
skeleton_length,0.060431045709453526
max_gap_inside_bbox,0.04697888703497305
global_linearity,0.04180283416375806
line_min_endpoint_gap,0.04147749954414561
sam_candidate_count,0.03636362744858396
significant_component_count,0.03560153712013043
endpoint_count,0.03166639531587913
component_count,0.028271252322090077
image_w,0.02666628632957632
has_mark,0.024996897172529592
line_angle_difference,0.023422699745872442
line_perpendicular_offset,0.023225646528505905
image_h,0.02272500289364959
best_sam_line_score,0.02139615911165319
local_bridge_width_ratio,0.020552509903741623
local_perpendicular_offset,0.019223565833163106
line_parallel_gap,0.017169634360569435
line_skeleton_length,0.016791692838592796
top2_angle_difference,0.014187838910038322
global_angle,0.013990272056644368
local_direction_status_halves_aligned,0.013752155292458752
local_angle_difference,0.012516918427367869
line_component_count,0.0123151366942741
best_select_score,0.012168397377745267
local_direction_status_not_evaluated,0.011131819598860414
parallel_gap,0.010852314967561012
refined_area,0.010478711834985348
perpendicular_offset,0.010028819415549858
merged_sam_area,0.009728257207452923
best_sam_area_ratio,0.009521800509353438
best_sam_area,0.0092619885162668
best_sam_red_recall,0.008634910660955949
best_sam_center_score,0.008380537297986362
line_status_single_continuous,0.008274304245548654
best_sam_score,0.007785742744877313
min_area,0.00661770541828023
interface_overlap,0.006193795205418468
best_sam_red_precision,0.005605686213399626
line_endpoint_count,0.005052260764594513
local_lower_angle,0.004629359041971618
interface_boundary_linearity,0.004510783545125337
interface_object_score,0.004040336941180357
interface_both_sides,0.0038191319038162292
local_upper_angle,0.003533937832570647
interface_side_b_pixels,0.0032747954704189165
best_sam_touches_border_False,0.0018461288896452351
line_status_multi_aligned,0.001722561657457253
best_sam_touches_border_True,0.0015699894830505999
interface_red_normal_offset,0.001268623550634267
interface_side_a_pixels,0.0012395989448226454
interface_reason_no_interface_object,0.0011165864371564592
best_prompt_complete red anti loosening marking line on the bolt,0.0010974396562881917
local_direction_status_direction_mismatch,0.0010223649651819402
interface_offset_along_boundary_tangent,0.000915547963123476
best_prompt_complete red witness paint mark,0.0009015315830229354
line_status_misaligned_offset,0.0008239634499386901
interface_normal_angle_diff_deg,0.0008181269267545516
interface_angle_diff_deg,0.0008071917139355765
interface_tangent_angle_diff_deg,0.0007981645387699922
best_prompt_paint mark on bolt,0.000768729334868867
line_status_curved_continuous,0.0007633932428373571
best_prompt_red torque seal mark across the bolt and base,0.0007480145596564899
line_status_misaligned_angle,0.0007191133870245032
interface_offset_along_boundary_normal,0.0007008529669784863
interface_reason_insufficient_two_sided_skeleton,0.0006777302734400589
interface_object_prompt_metal circular fastener,0.0006260967959767319
interface_object_prompt_nut,0.0006009885865284695
interface_has_two_sided_skeleton_True,0.00034732518210915214
interface_has_two_sided_skeleton_False,0.00032766335810899164
interface_break_True,0.0002721892909276593
interface_reason_skeleton_direction_aligned,0.0002443747889266711
interface_break_False,0.0002423656854766943
interface_object_prompt_hex bolt head,0.00019454730694302663
interface_object_prompt_hex nut,0.00019270246708770234
line_status_single_irregular,0.0001573610211009374
interface_reason_no_mark_boundary_overlap,0.00012812394914016873
interface_reason_skeleton_interface_break,0.00012042051884862292
interface_object_prompt_circular washer,0.00010020688428825275
best_prompt_all red paint marking lines on the bolt and washer,8.462818179011191e-05
line_status_broken_gap,4.9074803807203244e-05
interface_reason_skeleton_direction_mismatch,3.4292834803120805e-05
line_status_branched_or_fragmented,1.9046316529883444e-05
interface_object_prompt_bolt head,6.508629041539001e-06
best_prompt_red paint,1.2237871948947077e-06
interface_object_prompt_round metal fastener,0.0
local_direction_status_not_enough_halves,0.0
best_prompt_red witness mark line across the fastener,0.0
best_prompt_colored marking line,0.0
best_prompt_red mark,0.0
